"id";"country_name";"city";"jan";"feb";"mar";"apr";"may";"jun";"jul";"aug";"sep";"oct";"nov";"dec";"annual"
"87";"Norway";"Oslo";"1.3";"2.7";"4.1";"5.9";"7.1";"8.3";"7.9";"7.0";"4.8";"2.8";"1.7";"1.1";"1668"
"88";"Peru";"Arequipa";"7.2";"6.8";"7.9";"9.8";"9.3";"9.7";"9.4";"10.0";"9.9";"9.8";"10.3";"9.4";"3333"
"89";"Peru";"Lima";"5.8";"6.0";"4.5";"6.1";"3.8";"1.7";"0.9";"1.0";"1.2";"2.1";"3.0";"4.5";"1230"
"90";"Peru";"Iquitos";"4.4";"3.5";"3.4";"3.2";"3.6";"3.8";"4.5";"5.0";"4.6";"4.3";"4.1";"4.0";"1477"
"91";"Portugal";"Lisbon";"4.6";"5.6";"6.7";"7.8";"9.4";"10.1";"11.4";"11.1";"8.7";"6.9";"5.2";"4.6";"2806"
"92";"Seychelles";"Victoria";"5.0";"6.0";"7.0";"7.5";"8.0";"7.5";"7.5";"7.5";"7.5";"7.0";"6.5";"5.5";"2558"
"93";"South Africa";"Pretoria";"8.4";"8.4";"8.2";"8.2";"9.1";"9.0";"9.3";"9.5";"9.5";"8.9";"8.5";"8.8";"3220"
"94";"South Africa";"Cape Town";"10.9";"10.6";"9.4";"7.8";"6.6";"5.8";"6.2";"6.8";"7.5";"9.0";"10.3";"10.8";"3094"
"95";"South Africa";"Johannesburg";"8.1";"8.0";"7.7";"7.9";"8.9";"8.9";"9.2";"9.2";"9.4";"8.7";"8.3";"8.5";"3124"
"96";"South Africa";"Bloemfontein";"9.6";"8.9";"8.3";"8.3";"8.6";"8.3";"8.8";"9.2";"9.3";"9.4";"9.9";"10.3";"3312"
"97";"South Africa";"Upington";"11.4";"10.7";"9.6";"9.5";"9.4";"9.0";"9.3";"9.9";"10.0";"10.6";"11.5";"11.8";"3732"
"98";"South Africa";"Durban";"5.9";"6.4";"6.5";"6.9";"7.2";"7.5";"7.4";"7.0";"5.8";"5.5";"5.5";"6.1";"2365"
"99";"Spain";"Barcelona";"5.1";"6.1";"6.6";"8.0";"8.3";"9.6";"9.5";"8.5";"7.6";"6.3";"5.1";"4.4";"2591"
"100";"Spain";"Madrid";"4.8";"5.6";"6.9";"7.7";"8.8";"10.3";"11.6";"10.8";"8.7";"6.4";"5.2";"4.0";"2769"
"101";"Spain";"Seville";"5.8";"6.5";"7.2";"7.8";"9.3";"10.4";"11.3";"10.6";"8.3";"7.0";"6.2";"5.0";"2906"
"102";"Sweden";"Gothenburg";"1.5";"2.7";"4.9";"6.7";"8.8";"9.5";"9.2";"7.9";"5.9";"3.5";"1.6";"0.9";"1922"
"103";"Sweden";"Stockholm";"1.3";"2.6";"4.4";"6.2";"8.9";"9.7";"8.4";"7.1";"5.1";"3.2";"1.8";"1.1";"1821"
"105";"Tanzania";"Dar-es-Salaam";"8.1";"8.6";"7.0";"5.2";"6.2";"7.7";"8.1";"7.8";"8.1";"8.2";"9.0";"9.3";"2815"
"106";"Tanzania";"Zanzibar";"8.1";"8.7";"6.9";"6.0";"6.8";"7.3";"7.6";"8.2";"8.5";"8.7";"8.3";"8.4";"2838"
"107";"Tanzania";"Tabora";"7.0";"7.8";"7.1";"7.6";"9.1";"10.1";"10.0";"9.6";"10.4";"9.7";"8.0";"7.0";"3143"
"108";"Tanzania";"Dodoma";"7.8";"7.8";"7.8";"8.0";"9.0";"9.8";"11.0";"9.6";"10.0";"10.0";"10.1";"8.7";"3335"
"109";"Thailand";"Bangkok";"8.8";"8.9";"8.7";"8.6";"7.0";"5.9";"5.5";"5.2";"5.2";"6.4";"7.8";"8.5";"2624"
"110";"Thailand";"Chiang Mai";"8.8";"9.2";"9.5";"9.3";"6.4";"5.2";"3.9";"3.8";"4.8";"6.5";"7.2";"8.2";"2512"
"111";"Thailand";"Hat Yai";"5.9";"6.0";"6.0";"4.8";"3.7";"3.7";"3.7";"3.7";"3.6";"3.6";"3.5";"3.5";"1568"
"112";"Thailand";"Nakhon Ratchasima";"7.3";"7.6";"6.5";"6.2";"5.0";"3.8";"3.8";"3.8";"3.6";"4.7";"6.2";"7.3";"1996"
"113";"Turkey";"Ankara";"2.5";"3.5";"5.2";"6.3";"8.4";"10.2";"11.3";"10.6";"9.2";"6.4";"4.4";"2.3";"2450"
"114";"Turkey";"Istanbul";"2.3";"3.1";"4.3";"6.0";"8.1";"10.0";"10.4";"9.5";"8.1";"5.3";"3.4";"2.2";"2218"
"115";"U.A.E";"Dubai";"8.2";"8.2";"8.2";"9.8";"11.1";"11.4";"10.4";"10.2";"10.3";"9.8";"9.5";"8.2";"3509"
"116";"UK, Ireland";"Edinburgh";"1.7";"2.8";"3.7";"4.8";"6.1";"5.5";"5.5";"5.2";"4.3";"3.3";"2.4";"1.5";"1427"
"117";"UK, Ireland";"London";"2.0";"2.8";"3.7";"5.6";"6.4";"6.8";"6.8";"6.6";"5.0";"3.8";"2.4";"1.7";"1633"
"118";"USA";"Albuquerque";"7.6";"8.0";"8.7";"10.2";"11.2";"12.0";"10.8";"10.1";"9.6";"9.1";"7.8";"7.2";"3415"
"119";"USA";"Anchorage";"2.7";"4.3";"6.3";"7.8";"9.3";"9.2";"8.1";"6.6";"5.3";"3.8";"2.7";"1.7";"2061"
"120";"USA";"Juneau";"2.6";"3.2";"4.4";"6.1";"7.5";"6.3";"5.9";"5.2";"3.7";"2.1";"2.0";"1.3";"1531"
"121";"USA";"Atlanta";"5.3";"6.1";"7.1";"8.7";"9.3";"9.5";"8.8";"8.3";"7.6";"7.7";"6.2";"5.3";"2738"
"122";"USA";"Austin";"5.3";"6.0";"6.6";"6.9";"7.3";"9.5";"10.2";"9.6";"7.8";"7.0";"5.6";"5.0";"2644"
"123";"USA";"Baltimore";"5.0";"5.9";"6.9";"7.7";"8.2";"9.2";"9.4";"8.5";"7.4";"6.6";"5.3";"4.7";"2582"
"124";"USA";"Boise";"3.5";"5.4";"7.7";"9.4";"10.8";"11.7";"12.9";"11.6";"10.1";"7.7";"4.0";"3.4";"2993"
"125";"USA";"Boston";"5.3";"6.0";"6.9";"7.6";"8.6";"9.6";"9.7";"8.9";"7.9";"6.7";"4.8";"4.6";"2634"
"126";"USA";"Charlotte";"5.6";"6.4";"7.6";"9.0";"9.4";"9.6";"9.4";"8.8";"8.0";"7.4";"5.9";"5.4";"2821"
"127";"USA";"Chicago";"4.4";"4.9";"6.0";"7.2";"9.1";"10.4";"10.3";"9.1";"7.6";"6.2";"3.8";"3.4";"2508"
"128";"USA";"Cleveland";"3.3";"4.4";"5.4";"7.2";"8.5";"9.8";"9.9";"8.5";"7.3";"5.5";"3.0";"2.2";"2280"
"129";"USA";"Columbus";"3.6";"4.5";"5.2";"6.7";"7.9";"8.6";"8.4";"7.6";"7.1";"5.9";"3.5";"2.7";"2183"
"130";"USA";"Dallas";"5.9";"6.4";"7.3";"7.9";"8.3";"9.9";"10.7";"9.8";"8.2";"7.4";"6.1";"5.6";"2850"
"131";"USA";"Denver";"6.9";"7.5";"8.2";"9.2";"9.4";"10.5";"10.5";"9.9";"9.1";"8.0";"6.5";"6.3";"3107"
"132";"USA";"Detroit";"3.9";"4.9";"6.0";"7.2";"8.9";"10.1";"10.2";"9.1";"7.6";"5.7";"3.5";"2.8";"2436"
"133";"USA";"El Paso";"8.2";"9.4";"10.5";"11.6";"12.4";"12.8";"11.6";"10.8";"10.1";"9.6";"8.6";"7.9";"3763"
"134";"USA";"Fresno";"4.6";"7.0";"9.2";"11.2";"12.9";"13.7";"13.8";"12.9";"11.5";"9.8";"6.3";"4.1";"3564"
"135";"USA";"Honolulu";"6.9";"7.6";"8.4";"8.4";"9.1";"9.5";"9.9";"9.8";"9.3";"7.9";"6.7";"6.4";"3036"
"136";"USA";"Houston";"4.6";"5.5";"6.2";"7.0";"8.0";"9.4";"9.5";"8.7";"7.9";"7.4";"5.6";"4.8";"2578"
"137";"USA";"Indianapolis";"4.3";"5.2";"5.8";"7.2";"8.5";"9.6";"9.5";"8.8";"7.8";"6.3";"3.9";"3.3";"2440"
"138";"USA";"Jacksonville";"6.1";"6.9";"8.3";"9.5";"9.8";"9.5";"9.1";"8.5";"7.6";"6.9";"6.5";"5.9";"2880"
"139";"USA";"Kansas City";"5.9";"6.2";"7.2";"8.6";"9.2";"10.2";"10.6";"9.5";"8.0";"6.9";"5.2";"4.7";"2810"
"140";"USA";"Las Vegas";"7.9";"8.8";"10.1";"11.5";"12.5";"13.4";"12.6";"11.9";"11.2";"9.8";"8.2";"7.6";"3825"
"141";"USA";"Los Angeles";"7.3";"7.9";"8.6";"10.1";"8.9";"9.2";"11.7";"11.3";"9.3";"8.2";"7.2";"7.1";"3254"
"142";"USA";"Louisville";"4.5";"5.3";"6.1";"7.4";"8.5";"9.6";"9.5";"8.8";"7.8";"6.7";"4.5";"3.8";"2514"
"143";"USA";"Memphis";"5.4";"6.2";"6.9";"8.5";"9.7";"10.7";"10.5";"9.9";"8.4";"7.9";"5.8";"4.9";"2888"
"144";"USA";"Miami";"7.1";"7.7";"8.9";"9.8";"9.7";"9.6";"10.0";"9.3";"8.7";"8.4";"7.4";"7.0";"3154"
"145";"USA";"Milwaukee";"4.5";"5.4";"6.0";"7.1";"8.9";"10.2";"10.4";"9.1";"7.2";"5.7";"3.8";"3.4";"2484"
"146";"USA";"Minneapolis";"5.1";"6.4";"7.0";"8.1";"9.5";"10.7";"11.3";"9.9";"7.8";"5.8";"3.8";"3.7";"2711"
"147";"USA";"Nashville";"4.5";"5.2";"6.2";"7.7";"8.4";"9.3";"9.0";"8.5";"7.5";"7.0";"4.9";"4.2";"2510"
"148";"USA";"New Orleans";"4.9";"5.8";"7.1";"8.4";"9.0";"9.1";"8.3";"8.1";"7.6";"7.8";"5.7";"5.1";"2649"
"149";"USA";"New York";"5.2";"5.8";"6.9";"7.5";"8.3";"8.6";"8.7";"8.7";"7.3";"6.8";"5.0";"4.5";"2535"
"150";"USA";"Oklahoma City";"6.5";"6.8";"7.9";"9.0";"9.5";"10.9";"11.5";"10.6";"8.8";"7.9";"6.2";"5.8";"3089"
"151";"USA";"Omaha";"5.4";"5.6";"6.7";"7.7";"8.9";"10.5";"10.7";"9.6";"8.2";"7.0";"4.9";"4.3";"2727"
"152";"USA";"Philadelphia";"5.0";"5.5";"6.5";"7.2";"7.9";"9.0";"8.9";"8.4";"7.3";"6.6";"5.2";"4.4";"2498"
"153";"USA";"Phoenix";"8.3";"9.2";"10.3";"11.8";"12.9";"13.6";"12.2";"11.6";"11.0";"10.0";"8.5";"7.9";"3872"
"154";"USA";"Pittsburgh";"3.0";"3.9";"5.0";"6.1";"7.0";"8.1";"8.2";"7.4";"6.6";"5.4";"3.3";"2.4";"2021"
"155";"USA";"Portland";"2.8";"4.2";"6.2";"7.4";"8.9";"9.7";"10.7";"9.6";"7.9";"4.9";"2.6";"2.1";"2341"
"156";"USA";"Raleigh";"5.3";"6.2";"7.4";"8.4";"8.3";"8.9";"8.4";"7.7";"7.3";"6.9";"5.8";"5.1";"2606"
"157";"USA";"Richmond";"5.6";"6.4";"7.5";"8.7";"9.3";"10.2";"9.7";"9.0";"7.9";"7.2";"6.1";"5.3";"2829"
"158";"USA";"Sacramento";"4.7";"7.2";"9.0";"11.0";"13.1";"14.0";"14.2";"13.1";"11.6";"9.6";"6.5";"4.6";"3608"
"159";"USA";"Salt Lake City";"4.1";"5.8";"7.8";"9.0";"10.4";"12.0";"12.3";"11.4";"10.0";"8.0";"5.0";"3.6";"3029"
"160";"USA";"San Antonio";"5.1";"6.1";"7.0";"7.0";"7.2";"9.2";"10.0";"9.5";"7.8";"7.0";"5.7";"4.8";"2629"
"161";"USA";"San Diego";"7.7";"8.1";"8.4";"9.2";"8.1";"8.1";"9.8";"9.5";"8.4";"7.9";"7.7";"7.5";"3055"
"162";"USA";"San Francisco";"6.0";"7.4";"8.7";"10.3";"10.5";"10.4";"10.1";"9.3";"9.0";"8.0";"5.8";"5.2";"3062"
"163";"USA";"Seattle";"2.3";"3.9";"5.8";"6.9";"8.2";"8.9";"10.1";"9.1";"7.4";"4.6";"2.4";"1.7";"2170"
"164";"USA";"St. Louis";"5.2";"5.7";"6.4";"7.5";"8.6";"9.7";"10.0";"8.7";"7.9";"6.7";"4.7";"4.2";"2594"
"165";"USA";"Tampa";"6.4";"7.2";"8.6";"10.0";"10.1";"9.3";"8.6";"8.0";"7.4";"7.5";"6.7";"6.2";"2927"
"166";"USA";"Tucson";"8.4";"9.2";"10.3";"11.9";"12.9";"13.2";"11.1";"10.8";"10.5";"9.9";"8.8";"7.9";"3806"
"167";"USA";"Tulsa";"5.7";"6.1";"7.1";"8.1";"8.6";"9.8";"10.8";"9.8";"7.8";"7.1";"5.4";"5.2";"2786"
"168";"USA";"Virginia Beach";"5.5";"6.3";"7.4";"8.4";"8.8";"9.3";"9.0";"8.4";"7.7";"6.7";"5.9";"5.2";"2695"
"169";"USA";"Washington";"4.7";"5.4";"6.6";"7.6";"8.4";"9.4";"9.0";"8.5";"7.5";"6.6";"5.0";"4.3";"2528"
"170";"USA";"Wichita";"6.2";"6.7";"7.4";"8.6";"9.3";"10.2";"11.0";"10.0";"8.2";"7.3";"5.7";"5.4";"2922"
"171";"USA";"Yuma";"8.7";"9.7";"10.8";"12.2";"13.1";"13.8";"12.7";"12.1";"11.4";"10.3";"9.0";"8.2";"4015"
"172";"Vietnam";"Da Lat";"8.2";"8.4";"8.2";"6.7";"6.1";"4.9";"5.1";"4.4";"4.4";"4.5";"5.7";"6.9";"2238"
"173";"Vietnam";"Da Nang";"4.5";"5.2";"6.1";"7.0";"7.9";"8.0";"8.2";"7.0";"5.9";"4.7";"4.0";"3.3";"2182"
"174";"Vietnam";"Hanoi";"2.4";"1.7";"1.5";"3.0";"5.9";"5.7";"6.3";"5.6";"5.9";"5.4";"4.6";"4.0";"1585"
"175";"Vietnam";"Ho Chi Minh City";"7.9";"8.8";"8.8";"8.0";"6.3";"5.7";"5.8";"5.5";"5.4";"5.9";"6.7";"7.3";"2489"
